,WORD,COUNT
41,court,10819
76,district,3866
12,state,2612
58,appeals,2524
389,federal,2341
60,circuit,2142
57,u,1962
179,act,1956
251,held,1549
40,supreme,1511
79,trial,1389
202,filed,1334
84,affirmed,1318
15,law,1262
895,case,1224
160,states,1099
34,amendment,1053
170,found,1036
77,denied,1035
383,argued,996
56,appeal,966
530,jury,963
159,united,930
64,new,915
29,violated,895
405,two,825
65,evidence,824
570,would,820
997,government,815
737,reversed,805
27,decision,799
669,granted,783
216,first,769
78,motion,758
43,claim,758
130,police,755
702,claims,748
249,judge,737
624,sued,732
575,suit,728
354,could,726
946,rights,714
51,convicted,665
122,statute,664
1586,section,654
563,one,653
26,appealed,650
263,also,632
409,v,605
257,judgment,604
437,action,592
847,ruled,585
684,petition,579
252,right,575
121,california,559
1184,tax,546
96,death,543
870,company,543
644,time,542
656,conviction,530
1317,based,526
440,board,516
44,holding,515
289,order,503
700,dismissed,499
32,clause,499
609,c,492
414,sentence,488
546,required,485
277,officers,484
555,school,474
2,three,468
548,public,465
37,without,464
736,ninth,457
404,murder,457
713,violation,452
370,use,448
780,officer,441
172,attorney,432
2480,jurisdiction,430
10,years,427
217,later,424
62,counsel,423
381,guilty,418
387,habeas,415
102,sought,412
1384,plan,412
564,year,407
643,several,407
302,moved,406
288,county,403
1980,employees,402
169,department,399
443,made,398
846,alleging,398
1403,city,398
531,appellate,397
248,relief,393
1344,review,391
809,search,387
59,second,385
590,process,385
612,claimed,385
815,alleged,385
228,however,383
311,sentenced,380
901,therefore,378
1265,property,373
589,due,371
80,finding,368
679,courts,368
873,damages,365
1166,inc,362
300,fifth,358
258,ruling,355
1461,rule,348
1192,whether,344
230,service,341
68,failed,341
464,drug,337
320,charged,337
1296,fourth,330
740,plaintiffs,330
640,agreed,329
739,may,328
626,york,327
269,commission,326
28,arguing,325
961,civil,323
173,general,318
42,rejected,316
608,class,316
1147,sixth,315
174,used,312
1062,criminal,309
665,part,308
1850,party,307
193,applied,305
1709,congress,304
478,within,303
511,brought,303
969,summary,301
316,subsequently,301
510,arrested,300
382,mr,298
1076,agreement,295
90,must,294
31,protection,288
677,prison,285
910,national,283
5471,bankruptcy,282
411,texas,281
744,defendants,278
848,favor,276
704,hearing,275
325,florida,273
215,refused,272
110,challenged,270
1926,pay,270
73,immunity,270
1515,patent,266
2257,union,264
1475,complaint,264
393,home,263
859,unconstitutional,259
1276,warrant,258
304,dismiss,257
1662,benefits,255
843,subject,253
256,entered,252
1021,charges,252
646,sentencing,251
1633,services,249
738,lower,247
602,bank,247
748,received,247
1572,group,246
1309,issue,245
1052,determined,242
388,corpus,242
203,application,241
655,issued,241
1019,third,241
1847,authority,241
483,information,239
1357,policy,238
1104,prior,237
1017,certiorari,236
518,car,235
576,claiming,234
406,cases,233
1050,constitutional,233
495,security,232
133,proceedings,231
1162,officials,229
236,concluded,229
613,interest,229
535,members,228
1110,including,228
1934,child,228
565,contract,227
1319,reasonable,227
371,another,223
267,crime,222
822,ordered,221
33,fourteenth,221
30,equal,219
507,asked,218
329,penalty,218
1618,parties,217
2741,defendant,216
194,american,215
378,cause,215
579,non,215
444,discrimination,215
385,argument,214
1196,employee,214
2787,b,213
1381,virginia,213
367,person,213
942,request,212
839,corporation,212
1630,certain,211
1321,employment,211
250,panel,210
1659,program,209
392,private,208
2499,alabama,208
552,eighth,208
2662,title,207
162,allowed,207
365,provided,206
1676,constitution,205
647,defense,205
806,possession,204
1071,system,204
3513,ultimately,204
1860,injunction,203
752,set,203
2382,apply,202
1195,related,200
706,question,200
2444,work,199
1269,agency,199
1322,remanded,198
314,months,197
1866,lawsuit,197
2145,seeking,196
678,actions,195
189,days,194
2650,fees,193
2983,funds,193
1206,standard,193
1054,entitled,191
500,day,191
844,arrest,191
75,testimony,191
6402,arbitration,191
1626,statements,190
1161,local,190
1733,upon,189
1091,provision,189
2334,life,189
954,four,188
326,charge,188
1570,conduct,188
1353,since,187
5270,requires,187
1286,health,187
13,illinois,186
960,laws,186
1045,grounds,186
1219,land,186
54,money,185
1075,ohio,184
1088,companies,184
1256,administrative,184
67,prosecution,184
1592,income,182
583,free,182
854,labor,180
1138,five,180
516,robbery,180
1270,office,179
4857,thus,179
591,upheld,178
1169,business,177
359,provide,177
87,code,177
1932,medical,176
972,established,175
685,notice,175
407,decided,175
184,association,175
177,immigration,174
2380,degree,174
2656,carolina,174
885,limitations,173
1135,obtained,173
416,convictions,172
778,individual,171
1167,president,171
629,counts,170
2812,amount,166
