,WORD,COUNT,DELETE
41,court,10819,1
76,district,3866,1
12,state,2612,1
58,appeals,2524,1
389,federal,2341,1
60,circuit,2142,1
57,u,1962,1
179,act,1956,0
251,held,1549,0
40,supreme,1511,1
79,trial,1389,0
202,filed,1334,0
84,affirmed,1318,0
15,law,1262,1
895,case,1224,0
160,states,1099,0
34,amendment,1053,0
170,found,1036,0
77,denied,1035,0
383,argued,996,0
56,appeal,966,0
530,jury,963,0
159,united,930,0
64,new,915,0
29,violated,895,0
405,two,825,0
65,evidence,824,0
570,would,820,0
997,government,815,0
737,reversed,805,0
27,decision,799,0
669,granted,783,0
216,first,769,0
78,motion,758,0
43,claim,758,0
130,police,755,0
702,claims,748,0
249,judge,737,0
624,sued,732,0
575,suit,728,0
354,could,726,0
946,rights,714,0
51,convicted,665,0
122,statute,664,0
1586,section,654,0
563,one,653,0
26,appealed,650,0
263,also,632,0
409,v,605,0
257,judgment,604,0
437,action,592,0
847,ruled,585,0
684,petition,579,0
252,right,575,0
121,california,559,0
1184,tax,546,0
96,death,543,0
870,company,543,0
644,time,542,0
656,conviction,530,0
1317,based,526,0
440,board,516,0
44,holding,515,0
289,order,503,0
700,dismissed,499,0
32,clause,499,0
609,c,492,0
414,sentence,488,0
546,required,485,0
277,officers,484,0
555,school,474,0
2,three,468,0
548,public,465,0
37,without,464,0
736,ninth,457,0
404,murder,457,0
713,violation,452,0
370,use,448,0
780,officer,441,0
172,attorney,432,0
2480,jurisdiction,430,0
10,years,427,0
217,later,424,0
62,counsel,423,0
381,guilty,418,0
387,habeas,415,0
102,sought,412,0
1384,plan,412,0
564,year,407,0
643,several,407,0
302,moved,406,0
288,county,403,0
1980,employees,402,0
169,department,399,0
443,made,398,0
846,alleging,398,0
1403,city,398,0
531,appellate,397,0
248,relief,393,0
1344,review,391,0
809,search,387,0
59,second,385,0
590,process,385,0
612,claimed,385,0
815,alleged,385,0
228,however,383,0
311,sentenced,380,0
901,therefore,378,0
1265,property,373,0
589,due,371,0
80,finding,368,0
679,courts,368,0
873,damages,365,0
1166,inc,362,0
300,fifth,358,0
258,ruling,355,0
1461,rule,348,0
1192,whether,344,0
230,service,341,0
68,failed,341,0
464,drug,337,0
320,charged,337,0
1296,fourth,330,0
740,plaintiffs,330,0
640,agreed,329,0
739,may,328,0
626,york,327,0
269,commission,326,0
28,arguing,325,0
961,civil,323,0
173,general,318,0
42,rejected,316,0
608,class,316,0
1147,sixth,315,0
174,used,312,0
1062,criminal,309,0
665,part,308,0
1850,party,307,0
193,applied,305,0
1709,congress,304,0
478,within,303,0
511,brought,303,0
969,summary,301,0
316,subsequently,301,0
510,arrested,300,0
382,mr,298,0
1076,agreement,295,0
90,must,294,0
31,protection,288,0
677,prison,285,0
910,national,283,0
5471,bankruptcy,282,0
411,texas,281,0
744,defendants,278,0
848,favor,276,0
704,hearing,275,0
325,florida,273,0
215,refused,272,0
110,challenged,270,0
1926,pay,270,0
73,immunity,270,0
1515,patent,266,0
2257,union,264,0
1475,complaint,264,0
393,home,263,0
859,unconstitutional,259,0
1276,warrant,258,0
304,dismiss,257,0
1662,benefits,255,0
843,subject,253,0
256,entered,252,0
1021,charges,252,0
646,sentencing,251,0
1633,services,249,0
738,lower,247,0
602,bank,247,0
748,received,247,0
1572,group,246,0
1309,issue,245,0
1052,determined,242,0
388,corpus,242,0
203,application,241,0
655,issued,241,0
1019,third,241,0
1847,authority,241,0
483,information,239,0
1357,policy,238,0
1104,prior,237,0
1017,certiorari,236,0
518,car,235,0
576,claiming,234,0
406,cases,233,0
1050,constitutional,233,0
495,security,232,0
133,proceedings,231,0
1162,officials,229,0
236,concluded,229,0
613,interest,229,0
535,members,228,0
1110,including,228,0
1934,child,228,0
565,contract,227,0
1319,reasonable,227,0
371,another,223,0
267,crime,222,0
822,ordered,221,0
33,fourteenth,221,0
30,equal,219,0
507,asked,218,0
329,penalty,218,0
1618,parties,217,0
2741,defendant,216,0
194,american,215,0
378,cause,215,0
579,non,215,0
444,discrimination,215,0
385,argument,214,0
1196,employee,214,0
2787,b,213,0
1381,virginia,213,0
367,person,213,0
942,request,212,0
839,corporation,212,0
1630,certain,211,0
1321,employment,211,0
250,panel,210,0
1659,program,209,0
392,private,208,0
2499,alabama,208,0
552,eighth,208,0
2662,title,207,0
162,allowed,207,0
365,provided,206,0
1676,constitution,205,0
647,defense,205,0
806,possession,204,0
1071,system,204,0
3513,ultimately,204,0
1860,injunction,203,0
752,set,203,0
2382,apply,202,0
1195,related,200,0
706,question,200,0
2444,work,199,0
1269,agency,199,0
1322,remanded,198,0
314,months,197,0
1866,lawsuit,197,0
2145,seeking,196,0
678,actions,195,0
189,days,194,0
2650,fees,193,0
2983,funds,193,0
1206,standard,193,0
1054,entitled,191,0
500,day,191,0
844,arrest,191,0
75,testimony,191,0
6402,arbitration,191,0
1626,statements,190,0
1161,local,190,0
1733,upon,189,0
1091,provision,189,0
2334,life,189,0
954,four,188,0
326,charge,188,0
1570,conduct,188,0
1353,since,187,0
5270,requires,187,0
1286,health,187,0
13,illinois,186,0
960,laws,186,0
1045,grounds,186,0
1219,land,186,0
54,money,185,0
1075,ohio,184,0
1088,companies,184,0
1256,administrative,184,0
67,prosecution,184,0
1592,income,182,0
583,free,182,0
854,labor,180,0
1138,five,180,0
516,robbery,180,0
1270,office,179,0
4857,thus,179,0
591,upheld,178,0
1169,business,177,0
359,provide,177,0
87,code,177,0
1932,medical,176,0
972,established,175,0
685,notice,175,0
407,decided,175,0
184,association,175,0
177,immigration,174,0
2380,degree,174,0
2656,carolina,174,0
885,limitations,173,0
1135,obtained,173,0
416,convictions,172,0
778,individual,171,0
1167,president,171,0
629,counts,170,0
2812,amount,166,0
1816,michigan,165,0
725,regulations,165,0
1881,insurance,165,0
1000,illegal,164,0
1385,house,164,0
1684,arizona,163,0
362,georgia,163,0
699,writ,163,0
1202,requirement,162,0
2133,award,162,0
1143,requested,162,0
661,FALSE,161,0
348,felony,161,0
840,prohibited,160,0
1643,million,159,0
2306,commerce,159,0
281,investigation,159,0
341,following,159,0
1977,north,157,0
211,secretary,157,0
120,violating,156,0
